periods,log_obs,log_LC
2000,-5.1895976792301415,-5.310153438811332
2005,-5.096885251948115,-5.081859932832811
2010,-5.429887483731228,-5.331091459710882
2015,-5.703520708919841,-5.689350263198613
2019,-5.8422255670963885,-5.849661596372075
