iteration,chain,parameters[1],parameters[81],parameters[161],parameters[241],parameters[321]
6295,1,0.27007188851409253,-0.8135382100402896,-2.6628872436105078,1.1723285706845614,-0.3906872031002388
6296,1,0.2901709860064638,-0.6649140925805819,-2.6717932784872698,1.1777115492988484,-0.39599941305198205
6297,1,0.35759356652320057,-0.6071718826224242,-2.9047972435090017,1.3074085864443938,-0.37925326879218674
6298,1,0.5706683648333164,-0.6716198348934485,-2.926397661216745,1.320953562484561,-0.37511561699674645
6299,1,0.5445709787728678,-0.5797104812260202,-2.8292883420396673,1.4417428042050566,-0.37076770476794946
6300,1,0.6997530217688567,-0.5895575360686384,-2.6311435050003618,1.716548801090747,-0.41765665482490155
6301,1,0.5265265195972674,-0.4232430455418957,-2.670286794597558,1.9678261732128253,-0.41533274201231724
6302,1,0.47855762452392425,-0.6441535408750552,-2.3261424611410817,1.9231702216267736,-0.4129651305823185
6303,1,0.7379986907740956,-0.5155392877357359,-2.1696100763686306,1.8702282950756848,-0.40411336975736034
6304,1,0.8255578044534048,-0.5506209805001299,-2.1154867275436953,1.9845670514111027,-0.40854003758878527
6305,1,0.8480740279686094,-0.45840252310530527,-2.1616266703308153,2.271396598496974,-0.3981847957482014
6306,1,0.7428445791711633,-0.8270332180881587,-2.1090358558924485,2.2865622741972094,-0.3836473401305432
6307,1,0.7513451774967146,-0.688679864025707,-1.9854397691490624,2.4384462954865733,-0.4097520981317335
6308,1,0.813618046572028,-0.49706755875312225,-2.1713124416363065,2.2834831505013136,-0.3831535014787177
6309,1,0.7256733645663519,-0.3363467088395803,-1.9838090616194448,2.283068666961877,-0.37885786706905733
6310,1,0.7475930737175409,-0.2731167227747014,-1.9923633715453162,2.4052008992160947,-0.36878995743286863
6311,1,0.6204639828366255,-0.2094775373589029,-1.9263970706816036,2.3720188517411107,-0.3555690757844311
6312,1,0.5523459372871564,-0.27567598249563624,-1.9285391872944073,2.370726168287304,-0.3576676332864499
6313,1,0.6422328752355846,-0.4151100580221414,-2.194343548910263,2.2728747837272736,-0.35025208227758114
6314,1,0.6909484651144905,-0.16210672081588168,-1.997058811422407,2.0444807228358557,-0.33658736854305044
6315,1,0.5996573519052931,-0.2092128539977266,-2.071590785992022,1.9872334127980387,-0.33111539957179903
6316,1,0.45911171572854675,-0.12424103696483804,-2.0092238687026365,2.0455366157916886,-0.3607999904247845
6317,1,0.6581467756509688,-0.27081979942738843,-1.9271934432825362,1.66155789697095,-0.371449126319201
6318,1,1.1788023686300353,-0.6219761550062721,-2.016518748895066,1.6520496050695046,-0.3792409651913188
6319,1,1.2815277387512154,-0.240162425661782,-1.911459157939633,1.3706864209350222,-0.3986004557397135
6320,1,1.3623739417942506,-0.42268451634129356,-1.9512393413152234,1.294564573763296,-0.3835080413926112
6321,1,1.2316845591809156,-0.5018168297367579,-2.0395919235759115,1.4131612786213128,-0.4061067968730511
6322,1,1.3081720345469436,-0.381468285268146,-2.0488725622645876,1.3746528213944418,-0.395864920401585
6323,1,1.3545510656035489,-0.3561616527373798,-2.0738156463897623,1.4005390822522212,-0.3893434397604107
6324,1,1.2775446925744096,-0.39750050316074265,-2.140873062519803,1.5446516079788488,-0.37965434150959965
6325,1,1.2434067769356636,-0.4427133465997217,-2.076051754598424,1.5718659546764748,-0.3690269872402102
6326,1,1.2524899071483364,-0.5280199182852977,-2.112337291981931,1.5632496202626387,-0.3715631356765136
6327,1,1.0519881558786135,-0.31346885284279086,-2.0908294332331825,1.5316341745251432,-0.39790440689529377
6328,1,1.1326601585253198,-0.6712676037118565,-2.0267678115908554,1.2415501250532548,-0.37184866613967654
6329,1,1.1496923363945892,-0.612557634139577,-2.1989617576810727,1.1648353269877072,-0.3618844441957979
6330,1,1.3738809129022864,-0.7905639932925229,-1.9010014891341669,1.2410524319975353,-0.3339219627559853
6331,1,1.282205693450914,-0.6574155843546177,-1.6963833072037215,1.1737862968688089,-0.347445186810274
6332,1,1.4061417373229237,-0.5664125737439292,-1.5322661731327587,0.9932118501552936,-0.356511749225882
6333,1,1.2716822899071827,-0.8493299960273566,-1.6526584310878913,1.0036367339595846,-0.37922942367638596
6334,1,1.3264087574674752,-0.671328798856132,-1.6823085010669245,0.8836739620215172,-0.3699128558511276
6335,1,0.9867551551748924,-0.055379240411914,-1.4248596100907025,0.9833549993102898,-0.36282372078313097
6336,1,1.576811550281689,0.362397098858939,-1.5372984232403049,0.9393365073552296,-0.3644337038909047
6337,1,1.5459254397025983,0.3487805326471535,-1.5542729936878656,0.9305560408606887,-0.3725763261724802
6338,1,1.2976960248448288,0.4530600586541793,-1.4953898075503687,0.8420055073273545,-0.3407669020901083
6339,1,1.2819934123908312,0.2631788447145062,-1.6221944271745596,0.7062256048275821,-0.3256715946341738
6340,1,1.3295484451465334,0.20229307583742506,-2.056855828221319,0.4396536736019305,-0.31164289248331467
6341,1,1.1574724680080226,0.0806797053633384,-1.83616574438202,0.20187769560187915,-0.28963461005224145
6342,1,1.0912207422888818,0.011814797180186729,-1.7920032350748583,0.2447733283634439,-0.2761503617697828
6343,1,1.3010481383557486,0.25953446223767673,-2.076431712125427,0.5168382248640855,-0.2565806032662866
6344,1,1.1175356379622923,0.5563753590626649,-2.195962158362325,0.4153609018207614,-0.2665300474363627
6345,1,1.1448223789809573,0.3279660842812708,-2.2734414792273228,0.25853748885543515,-0.2754075837692903
6346,1,1.1206342867810601,0.47220749979365534,-2.376105234882782,0.22121870593614917,-0.27656695117520497
6347,1,1.1427962783515024,0.5395492634933897,-2.301328107157007,0.21009090337294714,-0.2955443284274917
6348,1,1.1354681102054038,0.5358099212808441,-2.3369562367083327,0.147172465161694,-0.27727268861898197
6349,1,1.1681057931051078,0.5677558962458772,-2.358025050665723,0.1797376586224269,-0.2771584051000132
6350,1,1.2301881462670679,0.7369518414384055,-2.3634349617387103,0.1914147713092312,-0.2761148735887302
6351,1,1.200637217733155,0.746759095608955,-2.3600086241982883,0.1879474342034409,-0.27421919272167844
6352,1,0.9959970611602871,0.9085857290162442,-2.317508985042908,0.727645155114219,-0.2684888710323672
6353,1,1.162923547186804,1.0648298359657282,-2.321420511028511,1.1535656280582194,-0.2844092454872884
6354,1,0.9962533931437981,1.4018551935627062,-2.3427296671373354,0.9665126451435089,-0.28977742272827905
6355,1,0.8569828387147176,1.1494473086401968,-2.3308574475718506,0.8814271258565757,-0.3142464256747807
6356,1,0.9907398325869914,1.3037682174219916,-2.1535684277676825,0.6286903718655745,-0.32102861889071965
6357,1,0.9655590239705317,1.5296733988445521,-2.1150006279567783,0.1478715198690399,-0.33227661551836074
6358,1,0.9869664002852906,1.3483136073059454,-2.210685539956092,0.44778003201124245,-0.32267194018661244
6359,1,0.9424249203898655,1.4897674030101609,-2.3379466617761424,0.46788385228267754,-0.2993848043966534
6360,1,1.0563829244711038,1.459335773406526,-2.5616592677758643,0.13001393424652138,-0.2899461192934196
