periods,log_obs,log_LC
2000,-3.912861006452945,-3.909313012125079
2005,-3.7569489805865564,-3.74188620675057
2010,-3.9132100096389832,-3.924668621716559
2015,-4.140393254661509,-4.187409897287001
2019,-4.344844151146213,-4.304979664606998
