periods,log_obs,log_LC
2000,-3.478912996617515,-3.550252385738559
2005,-3.495979809751918,-3.429805154563252
2010,-3.554596424039629,-3.56129924680818
2015,-3.695142385388848,-3.7503159283792074
2019,-3.901936990711143,-3.834895891019854
