periods,nn_pred_mean,nn_pred_median,nn_pred_l25,nn_pred_u75
1990.0,-3.768853647520199,-4.423461524723722,-4.710445630204817,-3.962508688702125
1990.1,-3.7806619827020267,-4.42382492564295,-4.708233683909023,-3.9771499765462854
1990.2,-3.7924174852018857,-4.424956056589595,-4.706797761736182,-3.9900042149198076
1990.3,-3.8041177771433,-4.42596673756687,-4.705728934754351,-4.000814170790527
1990.4,-3.81576224376622,-4.427364700673594,-4.702810653912492,-4.013630521218147
1990.5,-3.827352701082703,-4.428625960458896,-4.701076443669393,-4.0303768370313655
1990.6,-3.838892012643167,-4.429022167848595,-4.69928982939097,-4.041922040407493
1990.7,-3.8503823697228206,-4.430052447515338,-4.698488630056764,-4.052634962077047
1990.8,-3.8618245211815845,-4.431567145755783,-4.697199700105534,-4.062529178642712
1990.9,-3.873217568834903,-4.4325928600571025,-4.694890077530423,-4.072445468427755
1991.0,-3.8845587987738073,-4.434289767786523,-4.69300034280035,-4.0777505640799365
1991.1,-3.8958435712404915,-4.435244671697457,-4.691480620883866,-4.089686864291346
1991.2,-3.9070655285407083,-4.4376070267588,-4.690174297777071,-4.098400356045642
1991.3,-3.918217286849555,-4.4387455210527085,-4.687579182124626,-4.106617037297291
1991.4,-3.9292915926818734,-4.439111794253807,-4.685885313970375,-4.118558222139398
1991.5,-3.940282635760953,-4.439649248907555,-4.684873224772509,-4.125060720807237
1991.6,-3.951186934759966,-4.4409818026164976,-4.682218635137942,-4.131692241517665
1991.7,-3.962003327918368,-4.441716029334507,-4.681274765621682,-4.1355156371211
1991.8,-3.9727321373243547,-4.442796857639732,-4.67938209620842,-4.142914859519705
1991.9,-3.9833739557088834,-4.443439569237238,-4.677213987279248,-4.154052697500685
1992.0,-3.9939282669651606,-4.445266746439099,-4.675982134835482,-4.163379260793393
1992.1,-4.004392085886095,-4.447136467019736,-4.675239003214483,-4.170839610664322
1992.2,-4.0147596343997405,-4.44869631178652,-4.672737764415191,-4.17763179927097
1992.3,-4.025023859108539,-4.450281741174322,-4.672373436157205,-4.185413912673139
1992.4,-4.035178615059505,-4.451303484714657,-4.670892946475264,-4.193126288368217
1992.5,-4.0452196923539,-4.453188244374094,-4.669274017843028,-4.197037458665572
1992.6,-4.055144407901577,-4.454844045310931,-4.667825161383939,-4.203122848681712
1992.7,-4.064950771276584,-4.455665391274424,-4.665634013733028,-4.2089212743225515
1992.8,-4.074637199107787,-4.456945843776319,-4.6651534650720405,-4.214784077402321
1992.9,-4.084202960183285,-4.457681579796102,-4.663789477512538,-4.22129525209298
1993.0,-4.0936487593755,-4.45926721330832,-4.661928941756299,-4.2263243200168255
1993.1,-4.102976637075374,-4.462119137880262,-4.661335542518682,-4.230885969542258
1993.2,-4.11218880523355,-4.464811473693864,-4.659258504819059,-4.237410613063192
1993.3,-4.1212859372860535,-4.466207744467895,-4.657942643595368,-4.240371706482913
1993.4,-4.1302659739489425,-4.4676475531699795,-4.657593169400736,-4.24694016544006
1993.5,-4.139123993359059,-4.46910817672281,-4.657389629982642,-4.253766968115296
1993.6,-4.1478529067972305,-4.46992954422884,-4.656431086527222,-4.258825690362627
1993.7,-4.1564448570060195,-4.470333569314203,-4.655350722991459,-4.260337744366392
1993.8,-4.16489348783602,-4.471210099414478,-4.653119064557171,-4.265788368457536
1993.9,-4.173195885375348,-4.471882151577643,-4.652388535277841,-4.269635218419092
1994.0,-4.181351514826421,-4.4732041741221344,-4.650991284875165,-4.273587665089628
1994.1,-4.189357922700672,-4.475020775284908,-4.6498694836652845,-4.277005549924868
1994.2,-4.197207452752517,-4.475697221270663,-4.648572607687676,-4.280474864036103
1994.3,-4.204889115805979,-4.476931416613689,-4.647180378219563,-4.283466944461316
1994.4,-4.212393911461177,-4.4788373531894745,-4.645117685058386,-4.286331840931961
1994.5,-4.219718711849492,-4.479503565020855,-4.643337165606766,-4.2886431102585085
1994.6,-4.226866461098257,-4.481493313040909,-4.641956199112308,-4.290350112180083
1994.7,-4.233843725961081,-4.4815884011099385,-4.639449441924934,-4.293431696640884
1994.8,-4.240658636803161,-4.4825314744301075,-4.637934219256286,-4.2959708355184505
1994.9,-4.247321262902397,-4.482630471555203,-4.636873808079209,-4.297268268818121
1995.0,-4.253844206742742,-4.484153599251938,-4.635894021462445,-4.30047646960405
1995.1,-4.260238945834024,-4.484918752814861,-4.635115086698123,-4.303213250054803
1995.2,-4.266509769869306,-4.48528802707457,-4.633187860434401,-4.305214988819394
1995.3,-4.272653443433506,-4.485113816982808,-4.631181737070828,-4.306643872797345
1995.4,-4.278663985521825,-4.485758041978382,-4.629395318700157,-4.309254659018428
1995.5,-4.2845368461516316,-4.485451321379164,-4.628392299236219,-4.310836643977904
1995.6,-4.290270629514427,-4.484939341123653,-4.626302423206441,-4.313086038617842
1995.7,-4.2958644964398855,-4.484990763805341,-4.6244340873305205,-4.3143580754353925
1995.8,-4.301313986055505,-4.484905807307625,-4.622023403260694,-4.316300187841758
1995.9,-4.306613010610004,-4.4840777775527565,-4.619643537821982,-4.318223143709211
1996.0,-4.311760246805487,-4.483887817709255,-4.617179315167471,-4.319621297851644
1996.1,-4.316760652651773,-4.483690114978883,-4.614524400958824,-4.321494645184637
1996.2,-4.321620302477819,-4.483104982952125,-4.612025414702855,-4.323308673292132
1996.3,-4.326339651286977,-4.482832554402777,-4.6096709778551075,-4.324981844904863
1996.4,-4.330910808960166,-4.481204281407037,-4.606894739471851,-4.325938364587428
1996.5,-4.3353200193800125,-4.480481816786583,-4.604156166432084,-4.327726683254462
1996.6,-4.339551589757159,-4.479252691211493,-4.601401091291418,-4.32953426621621
1996.7,-4.343590975183887,-4.4785116742896065,-4.5978960511681235,-4.330779135839953
1996.8,-4.347427668761544,-4.476755788116099,-4.594307901102467,-4.331434654557762
1996.9,-4.351057089257539,-4.4748637443519605,-4.590695043845275,-4.332275544660334
1997.0,-4.354479637860207,-4.473136299693135,-4.586583006295341,-4.333126089867479
1997.1,-4.357697414081194,-4.470809368985751,-4.58134012113166,-4.333963088193989
1997.2,-4.360710080036941,-4.4684997184848045,-4.576717795812765,-4.334674736858776
1997.3,-4.3635111139654645,-4.465799584457017,-4.571768792057634,-4.336510412801482
1997.4,-4.3660868869641725,-4.462553838369947,-4.567128247173741,-4.337438868087658
1997.5,-4.368419962131575,-4.4592635603824915,-4.5626066652530515,-4.337356412330616
1997.6,-4.37049359625886,-4.455861283893586,-4.55763716876481,-4.337444799044735
1997.7,-4.372293773643974,-4.45278589881494,-4.552228308957019,-4.337420743907457
1997.8,-4.373809749590496,-4.449360439786939,-4.546726670881756,-4.336418746627034
1997.9,-4.375035472255473,-4.446060217842698,-4.540378168657891,-4.3368288850463514
1998.0,-4.375970187403888,-4.442158860254759,-4.534190925298162,-4.33625697935216
1998.1,-4.37661684504643,-4.437783915526387,-4.527906471498533,-4.334745094603285
1998.2,-4.376980008633565,-4.4335125807311275,-4.521694555008132,-4.334351447717081
1998.3,-4.377062596623205,-4.42919775572201,-4.5151004502503245,-4.332185690596141
1998.4,-4.3768618610919106,-4.424901614812087,-4.50773829016146,-4.330971758105015
1998.5,-4.376368971713317,-4.420016160711206,-4.500400818965706,-4.329775040720289
1998.6,-4.3755706970803505,-4.415048935447581,-4.492964324002622,-4.328830148175334
1998.7,-4.374449236534558,-4.4102758109380416,-4.485195190767349,-4.326836334597366
1998.8,-4.372984357391245,-4.405609470208433,-4.478071751615158,-4.325299992255142
1998.9,-4.371159250729635,-4.400612916846175,-4.470280965740051,-4.323473071369465
1999.0,-4.3689609410762325,-4.3951890897282,-4.461874039945816,-4.3213756762305495
1999.1,-4.366375421368606,-4.388814467471211,-4.452957895236457,-4.318813889291814
1999.2,-4.363386428285625,-4.382952630331615,-4.4447069669278285,-4.315512471957878
1999.3,-4.359976097710484,-4.377024073368042,-4.435627533836907,-4.311850504291759
1999.4,-4.3561279547492155,-4.370745074453164,-4.427003326774797,-4.307717118635294
1999.5,-4.351830336513213,-4.364451909913007,-4.418906014921795,-4.30354679124418
1999.6,-4.34707729472977,-4.357671126932052,-4.409614570647412,-4.29916612729045
1999.7,-4.341868554805387,-4.350506347485111,-4.401189563508683,-4.294731766031759
1999.8,-4.336210907535892,-4.3434414688889715,-4.392637247032533,-4.288921979418561
1999.9,-4.330120939074297,-4.33571281057265,-4.383927801525352,-4.283147213954175
2000.0,-4.3236279987130315,-4.327974787970755,-4.376209615840198,-4.277063560444754
2000.1,-4.316780165736001,-4.320003793084513,-4.368693032788229,-4.269190325767911
2000.2,-4.309651422914457,-4.312371829952128,-4.361608820620452,-4.261252652618599
2000.3,-4.302328547115912,-4.304229792544218,-4.355085905564606,-4.252926199725981
2000.4,-4.294875867103029,-4.295705456093715,-4.348399195386084,-4.243684064148547
2000.5,-4.2873207057763265,-4.2868053202245795,-4.341768867317169,-4.234907557210954
2000.6,-4.279667228358968,-4.277846941622088,-4.335116245795163,-4.225326247925778
2000.7,-4.271916122644364,-4.2695486161212735,-4.328724816718472,-4.215263765779516
2000.8,-4.264077036337885,-4.260296157381934,-4.321434551933841,-4.2053670578901965
2000.9,-4.256168824121873,-4.252053683766061,-4.314628701664857,-4.1950280280868855
2001.0,-4.248212703876869,-4.243548760153161,-4.307897434615175,-4.184918750689404
2001.1,-4.240228271448956,-4.234711904829003,-4.3006729248359665,-4.174809313618819
