periods,nn_pred_mean,nn_pred_median,nn_pred_l25,nn_pred_u75
1990.0,-2.8784988259301167,-2.7297328160434504,-2.9320344619941077,-2.6722396130262847
1990.1,-2.8759209165809594,-2.729202016673518,-2.9267694323387388,-2.67248260585727
1990.2,-2.8733520218844673,-2.7289154611177255,-2.922964942866917,-2.672496570642713
1990.3,-2.870791277285529,-2.728435786109394,-2.917443936453537,-2.6725697327045683
1990.4,-2.868237642039084,-2.7280872238194043,-2.913912801821547,-2.6726130294722723
1990.5,-2.8656899292426465,-2.727757995151508,-2.910566022123568,-2.6726888246583194
1990.6,-2.8631466997611454,-2.7273988861835194,-2.907373748494571,-2.6726663539509703
1990.7,-2.8606062925211635,-2.7270580617713613,-2.9033305457308707,-2.672645793303966
1990.8,-2.858067112980237,-2.726793745654451,-2.8988167290450284,-2.6726038678150386
1990.9,-2.855527979559788,-2.726346963617703,-2.893842983550303,-2.6727397170326177
1991.0,-2.85298829379144,-2.725940990586436,-2.8883882139476564,-2.672926806924739
1991.1,-2.850447999497315,-2.725596797671567,-2.8843376332269335,-2.67300434799723
1991.2,-2.847907461330736,-2.7251921884179358,-2.879981289942151,-2.673052025175429
1991.3,-2.8453673612497163,-2.724890348087599,-2.875707806709279,-2.6730758244519506
1991.4,-2.8428285924303918,-2.7244195361764003,-2.8706408326430384,-2.6729550979686536
1991.5,-2.840292114185578,-2.7241169859610417,-2.8651543604896417,-2.6730787984109083
1991.6,-2.837758807589911,-2.7238199819976576,-2.861731805795493,-2.673074939526184
1991.7,-2.8352294111818384,-2.7234467502649875,-2.857988145580984,-2.6731267138458183
1991.8,-2.832704608315879,-2.7227922234133906,-2.8541381611419108,-2.6730802386124406
1991.9,-2.8301852484689003,-2.72233810725846,-2.848825625799599,-2.6729692915388026
1992.0,-2.8276724868637033,-2.7216771821797288,-2.845798260045021,-2.673067189098386
1992.1,-2.825167619629334,-2.7214198420096567,-2.8412229575631285,-2.67304479268924
1992.2,-2.822671772059518,-2.7209570085644854,-2.8365275549745115,-2.6730261693501327
1992.3,-2.820185824820599,-2.720596626614713,-2.8323780572479644,-2.6730404479658785
1992.4,-2.8177106109527768,-2.720078873736819,-2.828355110553762,-2.6730119886141623
1992.5,-2.8152470810604178,-2.7196095900113795,-2.8250758637306834,-2.6728997076752625
1992.6,-2.8127962660099186,-2.7190031326337536,-2.8218040855532487,-2.6729866407769327
1992.7,-2.81035912224811,-2.718698232929769,-2.8189505299428803,-2.6729366730448074
1992.8,-2.8079364259675423,-2.7183021050376395,-2.8158235774987226,-2.6728829516913866
1992.9,-2.80552881215481,-2.717751520215219,-2.8117774867081913,-2.6727776040637714
1993.0,-2.8031369293739075,-2.7174589073878637,-2.8092103234690473,-2.6726627343106997
1993.1,-2.8007615743004948,-2.7167035847780148,-2.8064135126772345,-2.672669472187666
1993.2,-2.7984036591946015,-2.7163262460918345,-2.80358305525528,-2.6727622262842097
1993.3,-2.7960639870166943,-2.715941924704589,-2.801630941386002,-2.672866812951412
1993.4,-2.793742952755869,-2.715520165460009,-2.7992235996175276,-2.6728089437496982
1993.5,-2.7914403173325657,-2.715363828632894,-2.797323128323027,-2.672881739800276
1993.6,-2.7891551599523017,-2.7148130214368864,-2.7949222430542027,-2.672791306949777
1993.7,-2.7868860915810627,-2.714290712761712,-2.7921708706768578,-2.672854271107443
1993.8,-2.7846317242132335,-2.7138055382021147,-2.789646323095623,-2.6728059759233997
1993.9,-2.782391122669053,-2.713644939996702,-2.7876289048485616,-2.672856888912907
1994.0,-2.7801637473933543,-2.713205470240937,-2.785516266231236,-2.672917253680069
1994.1,-2.777948775864058,-2.7129758428641675,-2.783747974742827,-2.6727906170350764
