periods,nn_pred_mean,nn_pred_median,nn_pred_l25,nn_pred_u75
1990.0,-5.284537621765707,-5.371052402144411,-5.715184080771532,-5.165405360321502
1990.1,-5.285413329623108,-5.370374373423149,-5.7078766545526936,-5.167618952633867
1990.2,-5.286287766808688,-5.369672009430956,-5.700004100976743,-5.168303563303254
1990.3,-5.2871600786031925,-5.369364386785618,-5.694613198589183,-5.169429758034069
1990.4,-5.288029248341953,-5.368800694477675,-5.689171051905491,-5.170570536512094
1990.5,-5.288894221221946,-5.3686203059739,-5.681002835846395,-5.172253279552271
1990.6,-5.289753685993108,-5.367379498855004,-5.673664115439897,-5.1740347316547295
1990.7,-5.290606147448864,-5.367245020598916,-5.667037065739216,-5.174724091023504
1990.8,-5.291450587580467,-5.366922587159376,-5.662641563734545,-5.1758543752398865
1990.9,-5.2922870405387705,-5.366630999519385,-5.656577718820524,-5.178159019226759
1991.0,-5.293116343444861,-5.366146368544007,-5.653777100996728,-5.179938913809186
1991.1,-5.293939238474681,-5.366520860616796,-5.649163152342029,-5.180762929225899
1991.2,-5.294755642847238,-5.366336818214943,-5.645767103425087,-5.181717639765267
1991.3,-5.295564591422744,-5.3667762679618845,-5.642133769844126,-5.182701992088637
1991.4,-5.296364719225508,-5.365700788973223,-5.638094605440742,-5.184581146260335
1991.5,-5.2971548270723785,-5.36524802785119,-5.634551818981775,-5.186076092068709
1991.6,-5.297934136054711,-5.364715339546857,-5.631488406033714,-5.187039622260905
1991.7,-5.298702102142325,-5.364066338771424,-5.628128763604984,-5.188338631566362
1991.8,-5.299457894010904,-5.364062906718707,-5.625208167639338,-5.189490437246507
1991.9,-5.300199829408149,-5.364243421561792,-5.621834517600301,-5.190612143047479
1992.0,-5.300925328189566,-5.363497681974123,-5.617759257281899,-5.1922420910191285
1992.1,-5.301631798720558,-5.36339579505208,-5.614304923774352,-5.193939375778831
1992.2,-5.302317900921491,-5.362564869524724,-5.610875776265141,-5.19509578235545
1992.3,-5.302984087251206,-5.362163693799727,-5.60680337123045,-5.196740024346785
1992.4,-5.303632267514537,-5.3618587448526895,-5.604784779198853,-5.197617550970392
1992.5,-5.304265255903004,-5.361638131411303,-5.6005886595765215,-5.199006782903884
1992.6,-5.304886249469025,-5.361797070100839,-5.596711113733606,-5.200552845236079
1992.7,-5.30549811919956,-5.3615354898653695,-5.592754890561778,-5.2014058741442275
1992.8,-5.3061024898887865,-5.360815547327632,-5.588384461644078,-5.202446586262079
1992.9,-5.30669894468503,-5.360772006762863,-5.584580117138287,-5.2027331027677715
1993.0,-5.307284740739,-5.360893009678317,-5.581965691444467,-5.203516567518675
1993.1,-5.307855196794762,-5.360872365366107,-5.579020979479948,-5.2042677138155815
1993.2,-5.308404593911615,-5.360246148574656,-5.5757891550543714,-5.2055807102029945
1993.3,-5.308927192989418,-5.35962679176219,-5.57272107050329,-5.206718013392517
1993.4,-5.309418070315786,-5.358551389624077,-5.569130430533856,-5.209029419974001
1993.5,-5.3098737627440125,-5.357815412762724,-5.5666184026687064,-5.209656461834461
1993.6,-5.31029259296671,-5.3562774790637775,-5.561633959014489,-5.209924173649176
1993.7,-5.310674454471472,-5.355981297483428,-5.558688458862657,-5.210870611008767
1993.8,-5.311020250299273,-5.355467428749791,-5.555561855518863,-5.2121089986443145
1993.9,-5.311331145889171,-5.355651277076521,-5.551631845401152,-5.2126841572269145
1994.0,-5.311608591106744,-5.354994736095065,-5.54650202270936,-5.212749723144619
1994.1,-5.311856568525904,-5.353972003208616,-5.5447213442974315,-5.213416668504799
1994.2,-5.312083822482596,-5.353325847597931,-5.541460957131375,-5.213112015816396
1994.3,-5.312301838142535,-5.352339884763019,-5.538043092694908,-5.213196177822574
1994.4,-5.3125194616572555,-5.3517556385495535,-5.534015069690645,-5.21347817817224
1994.5,-5.3127392748278135,-5.350737813032808,-5.530802284198469,-5.213295012663633
1994.6,-5.312958936958823,-5.349714476129434,-5.526879071063308,-5.214037207472553
1994.7,-5.313176092733416,-5.348484558620521,-5.523650715925855,-5.215221295264159
1994.8,-5.313390992283081,-5.347428048998592,-5.519147976970941,-5.21619287137528
1994.9,-5.313603673777352,-5.34650725402904,-5.515887967284424,-5.216390633084603
1995.0,-5.313809989207855,-5.3451374747634945,-5.510863076924926,-5.21640497564061
1995.1,-5.314001453148587,-5.343451215861369,-5.507047681281865,-5.2156683010862235
1995.2,-5.3141683764247105,-5.343158143684372,-5.503149256550443,-5.215556068360817
1995.3,-5.31430196763484,-5.341949786003608,-5.500774617741887,-5.215695395333633
1995.4,-5.314394613368136,-5.340802066614815,-5.497754785632347,-5.215271636576206
1995.5,-5.314439613882978,-5.339721461283731,-5.493165519352248,-5.2152382735540295
1995.6,-5.314430982336542,-5.339373767284991,-5.489208808964231,-5.215230150965758
