periods,log_obs,log_LC
2000,-3.247617384643359,-3.2904459361095286
2005,-3.223583563902604,-3.1885628815659963
2010,-3.312202592934663,-3.299790177051464
2015,-3.395927730694,-3.4596742747615195
2019,-3.59036017443763,-3.5312181771237476
