periods,log_obs,log_LC
2000,-2.6834936416690884,-2.7281454343734106
2005,-2.6853753056615237,-2.64983663899681
2010,-2.7463097782946746,-2.7353275536684207
2015,-2.802751627234656,-2.8582167931758544
2019,-2.966802542922916,-2.9132064755683604
