periods,log_obs,log_LC
2000,-3.7519432658368252,-3.770427976698886
2005,-3.6476088050541824,-3.6215961779713117
2010,-3.7815826789801155,-3.784078138576766
2015,-3.9633327736356,-4.01763844903993
2019,-4.171423725534378,-4.122150506754207
