periods,log_obs,log_LC
2000,-2.883218223543665,-3.0117518167094697
2005,-3.0084302527379463,-2.912775476808617
2010,-3.0261641412062508,-3.0208294672739147
2015,-3.1333268124459455,-3.1761520856483973
2019,-3.316024263234967,-3.2456548467283737
