periods,log_obs,log_LC
2000,-2.1036115040756185,-2.1662470769200146
2005,-2.1489852591402916,-2.1001138092354767
2010,-2.17783346116972,-2.1723125133195267
2015,-2.234961248864213,-2.276094814308962
2019,-2.3719113879175566,-2.3225346473834216
