periods,log_obs,log_LC
2000,-4.5586694978127,-4.631258601938601
2005,-4.311495405732424,-4.318258343768649
2010,-4.7225078083557035,-4.659965533040459
2015,-5.225524444407963,-5.151153828137507
2019,-5.313386741378314,-5.3709475908018876
