periods,log_obs,log_LC
2000,-4.235170196116553,-4.131757424436972
2005,-3.8243941607775818,-3.8635174598627833
2010,-4.099413507646348,-4.156359149134639
2015,-4.600867256880107,-4.577305545940957
2019,-4.734762376040179,-4.76566791808542
