periods,log_obs,log_LC
2000,-4.105938148880849,-4.032221725599391
2005,-3.8287406894184746,-3.8322763029093685
2010,-3.9881137034227705,-4.0505597918580385
2015,-4.3351809120872575,-4.3643322208579045
2019,-4.526153666203748,-4.5047370787883985
