periods,log_obs,log_LC
2000,-1.5018743941694417,-1.5446694019258131
2005,-1.5390761263384394,-1.5068239237224132
2010,-1.5518382140300642,-1.5481404135526213
2015,-1.5851207654440675,-1.6075309585462518
2019,-1.6633618534139316,-1.6341066556488448
