periods,log_obs,log_LC
2000,-4.210290573741021,-4.081574623023844
2005,-3.8088813897089997,-3.856465124267362
2010,-4.0434217024369765,-4.1022206215573895
2015,-4.44040543523581,-4.455482793131415
2019,-4.60630232661751,-4.613558265760305
