periods,log_obs,log_LC
2000,-4.317262563974525,-4.265238749686713
2005,-3.9139773138454266,-3.9599526592732186
2010,-4.28932837204828,-4.2932381731220035
2015,-4.830084429052057,-4.77232069894416
2019,-4.926795052345313,-4.98669745023951
