periods,nn_pred_mean,nn_pred_median,nn_pred_l25,nn_pred_u75
1990.0,-4.085626160112271,-4.272178275306437,-4.501761027350921,-4.043042177300977
1990.1,-4.0902614375213915,-4.272101921726332,-4.500222855482672,-4.045817406232818
1990.2,-4.094853274596122,-4.272761734202628,-4.496534842870318,-4.047146014097608
1990.3,-4.099404817817657,-4.272485116744198,-4.4960390441745615,-4.048794786838893
1990.4,-4.1039183239098165,-4.273470626610405,-4.494883765645109,-4.051481291190196
1990.5,-4.108395494436806,-4.2745159475861945,-4.4925553748519516,-4.054276698840132
1990.6,-4.112837524544487,-4.2750363302669685,-4.490527477201448,-4.057042535512249
1990.7,-4.117245184432408,-4.27490055625974,-4.489485134092861,-4.0598234618939255
1990.8,-4.121619285363668,-4.275565495325601,-4.488791230179494,-4.061840808005925
1990.9,-4.125961129810835,-4.276143325153424,-4.486924738226512,-4.063913166436499
1991.0,-4.130272269335195,-4.27654325253687,-4.485312007076425,-4.067041820533472
1991.1,-4.134553592780617,-4.277035197877737,-4.483305662224703,-4.068655718472078
1991.2,-4.138804499961073,-4.278089498255657,-4.480891214757378,-4.070235404219867
1991.3,-4.143022909428263,-4.278373410214266,-4.479113993661796,-4.072812944119626
1991.4,-4.147206284010195,-4.27805614913531,-4.47799680592453,-4.0739464503052725
1991.5,-4.151353079049875,-4.2780525194776375,-4.476427808235934,-4.076182126872923
1991.6,-4.1554636712381745,-4.278639274403188,-4.475143193724139,-4.0772898706496745
1991.7,-4.159540349098279,-4.2789119709920795,-4.473815548349932,-4.07930439231943
1991.8,-4.163586569685261,-4.2793886532764285,-4.471319633620232,-4.0826289975781185
1991.9,-4.16760576418054,-4.279697779197413,-4.470773078422449,-4.085853941553413
1992.0,-4.171599884863643,-4.279992406699962,-4.470768917927315,-4.088047474017574
1992.1,-4.175568133915632,-4.2810981794653715,-4.469313052835332,-4.090554431655799
1992.2,-4.17950684149644,-4.281270205313502,-4.468180687997237,-4.092355132954783
1992.3,-4.183410959936688,-4.281616671055798,-4.465915278640738,-4.094623271794942
1992.4,-4.1872759693785975,-4.282329049119366,-4.464431534860627,-4.096282305572924
1992.5,-4.191098726649022,-4.2823998713000515,-4.46417507908772,-4.097728756271971
1992.6,-4.194877138960364,-4.282298867349425,-4.464061427572854,-4.0993609977094305
1992.7,-4.198609369341632,-4.2827851933065615,-4.463827420647992,-4.102099732878951
1992.8,-4.2022932541013,-4.283122793596354,-4.462301810548679,-4.103338146173582
1992.9,-4.205926255590168,-4.282593438609207,-4.460233136170985,-4.10531533552838
1993.0,-4.209505790403921,-4.28325026489093,-4.458577552029039,-4.107006486230953
1993.1,-4.213029477827924,-4.284229057256399,-4.45788225367082,-4.107952820423603
1993.2,-4.216494988413986,-4.285180827002328,-4.456932774398121,-4.109801851274097
1993.3,-4.219899615678112,-4.285554885067871,-4.45509481019342,-4.11095214283538
1993.4,-4.223239969291279,-4.285923397644894,-4.454809223060254,-4.112676383734044
